id,name,slug
157,Гжель,gzhel
156,где создаётся гжель,gde-sozdaiotsia-gzhel
155,Место,mesto
154,"""Гжель"": Как стать мастером в росписи и выиграть!",gzhel-kak-stat-masterom-v-rospisi-i-vyigrat
153,"Интервью с разработчиками игры ""Гжель""",interviu-s-razrabotchikami-igry-gzhel
152,Войны Чёрной Розы,voiny-chiornoi-rozy
146,Грибы и корни,griby-i-korni
145,Сундук войны,sunduk-voiny
144,Подземелье,podzemele
143,бумага,bumaga
142,соль,sol
141,Море,more
139,Кольт Экспресс,kolt-ekspress
136,Fateforge: Хроники Каана,fateforge-khroniki-kaana
135,Письма призрака,pisma-prizraka
134,"Интервью с авторами игры ""Неон""",interviu-s-avtorami-igry-neon
132,Трудванг: Легенды,trudvang-legendy
130,Шакал,shakal
129,Трамвай смерти,tramvai-smerti
128,Гонка: Жара на трассе,gonka-zhara-na-trasse
127,Мафия,mafiia
125,Взлом,vzlom
124,Палео,paleo
123,Замес,zames
122,Азул,azul
121,Неудержимые единорожки,neuderzhimye-edinorozhki
120,По мультфильмам,po-multfilmam
119,Время Приключений,vremia-prikliuchenii
115,Small World (Маленький Мир),small-world-malenkii-mir
114,Battletech,battletech
113,Варгеймы,vargeimy
112,Стартовые наборы,startovye-nabory
110,Кромешная Тьма: Преисподняя,kromeshnaia-tma-preispodniaia
109,Восходящее солнце,voskhodiashchee-solntse
108,Эволюция,evoliutsiia
103,Зачарованная,zacharovannaia
102,Предназначение,prednaznachenie
99,Индустрия,industriia
98,Исторический детектив,istoricheskii-detektiv
97,Продвинутые семейные игры,prodvinutye-semeinye-igry
96,7 чудес (7 Wonders),7-chudes-7-wonders
95,В двух словах,v-dvukh-slovakh
94,Мачи Коро,machi-koro
92,"похожие на ""Мафию""",pokhozhie-na-mafiiu
91,Дюна: Война за Арракис,diuna-voina-za-arrakis
89,Подарочные издания,podarochnye-izdaniia
88,Цитадели,tsitadeli
87,Изнанка,iznanka
86,"Интервью с создателями игры ""Изнанка""",interviu-s-sozdateliami-igry-iznanka
85,Подземелья и пёсики,podzemelia-i-piosiki
84,"Интервью с создателями игры ""Подземелья и пёсики""",interviu-s-sozdateliami-igry-podzemelia-i-piosiki
83,Фанату детективов,fanatu-detektivov
82,Место преступления,mesto-prestupleniia
81,Крестоносцы,krestonostsy
80,"""Крестоносцы"": коротко о главном",krestonostsy-korotko-o-glavnom
79,Войны Чёрной Розы: Возрождение,voiny-chiornoi-rozy-vozrozhdenie
78,Игры про космос,igry-pro-kosmos
77,Космический контакт,kosmicheskii-kontakt
76,Взрывные котята,vzryvnye-kotiata
74,Сумерки Империи,sumerki-imperii
73,Бэнг!,beng
72,Вторая редакция,vtoraia-redaktsiia
71,Полукооперативные игры,polukooperativnye-igry
70,Непостижимое,nepostizhimoe
67,чтобы занять детей,chtoby-zaniat-detei
66,Игры,igry
65,Ticket To Ride,ticket-to-ride
64,Ticket to Ride: 20 лет жизни Алана Муна до и после,ticket-to-ride-20-let-zhizni-alana-muna-do-i-posle
63,Эпичные схватки боевых магов,epichnye-skhvatki-boevykh-magov
62,Ужас Аркхэма. Настольная игра,uzhas-arkkhema-nastolnaia-igra
61,Коробочные варгеймы,korobochnye-vargeimy
60,Для мальчиков,dlia-malchikov
59,Прокачай свою коллекцию,prokachai-svoiu-kollektsiiu
58,Манчкин,manchkin
57,"Всё о линейке ""Манчкин""",vsio-o-lineike-manchkin
55,Oathsworn: Верные клятве,oathsworn-vernye-kliatve
54,Frostpunk,frostpunk
53,Игры с мобильным приложением,igry-s-mobilnym-prilozheniem
51,Тайное послание,tainoe-poslanie
47,Белая смерть,belaia-smert
46,Зомбицид,zombitsid
45,Серп,serp
44,Ктулху: Смерть может умереть,ktulkhu-smert-mozhet-umeret
39,Игры для студентов,igry-dlia-studentov
38,Понравится подростку,ponravitsia-podrostku
37,Fallout,fallout
36,Логические игры,logicheskie-igry
35,Командные игры,komandnye-igry
34,Дуэльные игры,duelnye-igry
33,Городской убийца,gorodskoi-ubiitsa
32,Абстрактные игры,abstraktnye-igry
31,"Интервью с создателями ""Городского убийцы""",interviu-s-sozdateliami-gorodskogo-ubiitsy
30,Каркассон,karkasson
29,Cyberpunk 2077: Банды Найт-Сити,cyberpunk-2077-bandy-nait-siti
28,Gloomhaven,gloomhaven
27,Экономические игры,ekonomicheskie-igry
26,Эверделл,everdell
25,Что подарить на 8 марта?,chto-podarit-na-8-marta
24,Приключенческие игры,prikliuchencheskie-igry
23,Кооперативные игры,kooperativnye-igry
22,Для коллег,dlia-kolleg
21,Хардкорные игры,khardkornye-igry
20,Древний Ужас,drevnii-uzhas
19,Карточные игры,kartochnye-igry
18,Для компании,dlia-kompanii
17,Для взрослых 18+,dlia-vzroslykh-18
16,Бункер,bunker
15,Вечериночные игры,vecherinochnye-igry
14,Загадки и расследования,zagadki-i-rassledovaniia
13,Для одного,dlia-odnogo
12,Вселенная Лавкрафта,vselennaia-lavkrafta
11,Детективные игры,detektivnye-igry
10,Тематические,tematicheskie
9,Ужас Аркхэма (Arkham Horror Files),uzhas-arkkhema-arkham-horror-files
8,Игры по вселенным,igry-po-vselennym
7,Живые карточные игры (LCG),zhivye-kartochnye-igry-lcg
6,Ужас Аркхэма. Карточная игра,uzhas-arkkhema-kartochnaia-igra
5,"Всё о линейке ""Ужас Аркхэма. Карточная игра""",vsio-o-lineike-uzhas-arkkhema-kartochnaia-igra
4,Для двоих,dlia-dvoikh
3,Герои,geroi
2,Семейные игры,semeinye-igry
1,Стратегические игры,strategicheskie-igry
