id,offer,price,ts
1,1,5987.35,2025-09-04 12:01:27
2,1,5922.59,2025-09-05 12:01:27
3,1,5957.55,2025-09-06 12:01:27
4,1,5845.78,2025-09-07 12:01:27
5,1,5832.67,2025-09-08 12:01:27
6,1,5952.28,2025-09-09 12:01:27
7,1,5787.92,2025-09-10 12:01:27
8,2,5990.99,2025-09-04 12:01:27
9,2,6145.69,2025-09-05 12:01:27
10,2,6034.50,2025-09-06 12:01:27
11,2,5990.09,2025-09-07 12:01:27
12,2,5933.96,2025-09-08 12:01:27
13,2,5954.51,2025-09-09 12:01:27
14,2,6027.53,2025-09-10 12:01:27
15,3,5763.31,2025-09-04 12:01:27
16,3,5642.96,2025-09-05 12:01:27
17,3,5482.25,2025-09-06 12:01:27
18,3,5526.03,2025-09-07 12:01:27
19,3,5521.72,2025-09-08 12:01:27
20,3,5408.74,2025-09-09 12:01:27
21,3,5570.59,2025-09-10 12:01:27
22,4,4879.84,2025-09-04 12:01:27
23,4,4756.97,2025-09-05 12:01:27
24,4,4811.12,2025-09-06 12:01:27
25,4,4705.73,2025-09-07 12:01:27
26,4,4630.99,2025-09-08 12:01:27
27,4,4619.61,2025-09-09 12:01:27
28,4,4694.83,2025-09-10 12:01:27
29,5,4825.79,2025-09-04 12:01:27
30,5,4878.75,2025-09-05 12:01:27
31,5,4795.94,2025-09-06 12:01:27
32,5,4787.91,2025-09-07 12:01:27
33,5,4828.86,2025-09-08 12:01:27
34,5,4958.08,2025-09-09 12:01:27
35,5,4949.92,2025-09-10 12:01:27
36,6,4574.21,2025-09-04 12:01:27
37,6,4671.72,2025-09-05 12:01:27
38,6,4761.86,2025-09-06 12:01:27
39,6,4850.42,2025-09-07 12:01:27
40,6,4794.42,2025-09-08 12:01:27
41,6,4927.84,2025-09-09 12:01:27
42,6,5016.26,2025-09-10 12:01:27
43,7,6299.96,2025-09-04 12:01:27
44,7,6454.51,2025-09-05 12:01:27
45,7,6624.70,2025-09-06 12:01:27
46,7,6809.42,2025-09-07 12:01:27
47,7,6830.71,2025-09-08 12:01:27
48,7,6977.12,2025-09-09 12:01:27
49,7,7026.76,2025-09-10 12:01:27
50,8,6644.01,2025-09-04 12:01:27
51,8,6556.59,2025-09-05 12:01:27
52,8,6536.47,2025-09-06 12:01:27
53,8,6668.57,2025-09-07 12:01:27
54,8,6587.03,2025-09-08 12:01:27
55,8,6657.32,2025-09-09 12:01:27
56,8,6485.80,2025-09-10 12:01:27
57,9,5954.15,2025-09-04 12:01:27
58,9,5952.22,2025-09-05 12:01:27
59,9,6096.62,2025-09-06 12:01:27
60,9,6274.34,2025-09-07 12:01:27
61,9,6241.36,2025-09-08 12:01:27
62,9,6105.84,2025-09-09 12:01:27
63,9,6254.00,2025-09-10 12:01:27
64,10,2125.99,2025-09-04 12:01:27
65,10,2132.89,2025-09-05 12:01:27
66,10,2106.07,2025-09-06 12:01:27
67,10,2056.93,2025-09-07 12:01:27
68,10,2018.01,2025-09-08 12:01:27
69,10,2058.26,2025-09-09 12:01:27
70,10,2060.84,2025-09-10 12:01:27
71,11,1864.35,2025-09-04 12:01:27
72,11,1814.07,2025-09-05 12:01:27
73,11,1811.01,2025-09-06 12:01:27
74,11,1783.35,2025-09-07 12:01:27
75,11,1819.90,2025-09-08 12:01:27
76,11,1863.05,2025-09-09 12:01:27
77,11,1849.54,2025-09-10 12:01:27
78,12,1957.35,2025-09-04 12:01:27
79,12,2000.91,2025-09-05 12:01:27
80,12,2002.92,2025-09-06 12:01:27
81,12,1946.18,2025-09-07 12:01:27
82,12,1921.60,2025-09-08 12:01:27
83,12,1944.00,2025-09-09 12:01:27
84,12,1925.74,2025-09-10 12:01:27
85,13,736.46,2025-09-04 12:01:27
86,13,718.73,2025-09-05 12:01:27
87,13,734.80,2025-09-06 12:01:27
88,13,725.42,2025-09-07 12:01:27
89,13,725.83,2025-09-08 12:01:27
90,13,741.40,2025-09-09 12:01:27
91,13,726.41,2025-09-10 12:01:27
92,14,729.68,2025-09-04 12:01:27
93,14,749.77,2025-09-05 12:01:27
94,14,733.12,2025-09-06 12:01:27
95,14,728.81,2025-09-07 12:01:27
96,14,707.62,2025-09-08 12:01:27
97,14,710.59,2025-09-09 12:01:27
98,14,706.64,2025-09-10 12:01:27
99,15,797.25,2025-09-04 12:01:27
100,15,778.53,2025-09-05 12:01:27
101,15,757.47,2025-09-06 12:01:27
102,15,779.71,2025-09-07 12:01:27
103,15,765.31,2025-09-08 12:01:27
104,15,768.14,2025-09-09 12:01:27
105,15,760.21,2025-09-10 12:01:27
106,16,5423.94,2025-09-04 12:01:27
107,16,5505.13,2025-09-05 12:01:27
108,16,5576.74,2025-09-06 12:01:27
109,16,5619.50,2025-09-07 12:01:27
110,16,5687.22,2025-09-08 12:01:27
111,16,5824.07,2025-09-09 12:01:27
112,16,5878.69,2025-09-10 12:01:27
113,17,5113.07,2025-09-04 12:01:27
114,17,5183.45,2025-09-05 12:01:27
115,17,5036.59,2025-09-06 12:01:27
116,17,5107.82,2025-09-07 12:01:27
117,17,5036.92,2025-09-08 12:01:27
118,17,4914.29,2025-09-09 12:01:27
119,17,4822.31,2025-09-10 12:01:27
120,18,5045.37,2025-09-04 12:01:27
121,18,4901.98,2025-09-05 12:01:27
122,18,4997.42,2025-09-06 12:01:27
123,18,5039.89,2025-09-07 12:01:27
124,18,4936.66,2025-09-08 12:01:27
125,18,4952.15,2025-09-09 12:01:27
126,18,5057.08,2025-09-10 12:01:27
127,19,4736.57,2025-09-04 12:01:27
128,19,4706.85,2025-09-05 12:01:27
129,19,4813.00,2025-09-06 12:01:27
130,19,4907.25,2025-09-07 12:01:27
131,19,4827.53,2025-09-08 12:01:27
132,19,4949.20,2025-09-09 12:01:27
133,19,4940.93,2025-09-10 12:01:27
134,20,4978.85,2025-09-04 12:01:27
135,20,5093.45,2025-09-05 12:01:27
136,20,5064.13,2025-09-06 12:01:27
137,20,5068.56,2025-09-07 12:01:27
138,20,4998.39,2025-09-08 12:01:27
139,20,4884.45,2025-09-09 12:01:27
140,20,4918.84,2025-09-10 12:01:27
141,21,4550.35,2025-09-04 12:01:27
142,21,4446.51,2025-09-05 12:01:27
143,21,4544.38,2025-09-06 12:01:27
144,21,4450.09,2025-09-07 12:01:27
145,21,4483.11,2025-09-08 12:01:27
146,21,4361.14,2025-09-09 12:01:27
147,21,4472.38,2025-09-10 12:01:27
148,22,7129.94,2025-09-04 12:01:27
149,22,6921.37,2025-09-05 12:01:27
150,22,7121.12,2025-09-06 12:01:27
151,22,7126.95,2025-09-07 12:01:27
152,22,6928.65,2025-09-08 12:01:27
153,22,6973.38,2025-09-09 12:01:27
154,22,6898.94,2025-09-10 12:01:27
155,23,6591.08,2025-09-04 12:01:27
156,23,6650.50,2025-09-05 12:01:27
157,23,6645.88,2025-09-06 12:01:27
158,23,6817.66,2025-09-07 12:01:27
159,23,6868.79,2025-09-08 12:01:27
160,23,6721.45,2025-09-09 12:01:27
161,23,6563.94,2025-09-10 12:01:27
162,24,7198.92,2025-09-04 12:01:27
163,24,7322.89,2025-09-05 12:01:27
164,24,7507.91,2025-09-06 12:01:27
165,24,7703.38,2025-09-07 12:01:27
