id,title,slug,publishers,categories,min_players,max_players,playtime_min,min_age,created_at,updated_at
143,"Ктулху: Смерть может умереть. Итакуа, Оседлавший Ветер",ktulkhu-smert-mozhet-umeret-itakua-osedlavshii-veter,"1,6,15",44,1,5,1,16,2025-10-05 08:29:37,2025-10-05 08:29:37
142,Взрывные котята 18+,vzryvnye-kotiata-18,"1,29","4,10,15,17,18,19,76",2,5,2,15,2025-10-05 08:29:37,2025-10-05 08:29:37
141,Эпичные схватки боевых магов: Крутагидон. Экстремально острый чипсихоз,epichnye-skhvatki-boevykh-magov-krutagidon-ekstremalno-ostryi-chipsikhoz,"1,22","10,15,17,18,19,63",2,5,2,18,2025-10-05 08:29:37,2025-10-05 08:29:37
140,Обитель тьмы,obitel-tmy,"38,72","8,10,23,24",1,5,1,13,2025-10-05 08:29:37,2025-10-05 08:29:37
139,Гжель,gzhel,1,"1,2,4,10,13,18,36,153,154,155,156,157",1,4,1,8,2025-10-05 08:29:37,2025-10-05 08:29:37
138,Войны Чёрной Розы: Дуэль. Закон,voiny-chiornoi-rozy-duel-zakon,"1,30","1,21,34,59,152",,,,45,2025-10-05 08:29:37,2025-10-05 08:29:37
132,Грибы и корни,griby-i-korni,"1,52","1,13,146",1,4,1,10,2025-10-05 08:29:37,2025-10-05 08:29:37
131,Время кофе,vremia-kofe,"49,55","2,4,27",2,4,2,8,2025-10-05 08:29:37,2025-10-05 08:29:37
130,Small World: Новые измерения,small-world-novye-izmereniia,"1,23",115,2,6,2,8,2025-10-05 08:29:37,2025-10-05 08:29:37
129,Паранормальный детектив,paranormalnyi-detektiv,"1,28,31,70","11,14,15,17,18,23,36,83",2,6,2,45,2025-10-05 08:29:37,2025-10-05 08:29:37
128,Сундук войны,sunduk-voiny,"16,52","4,18,32,34,35,36,145",2,4,2,14,2025-10-05 08:29:37,2025-10-05 08:29:37
127,Подземелье: Гробница повелителя мёртвых,podzemele-grobnitsa-povelitelia-miortvykh,"1,69","8,10,13,19,24,60,97,144",1,4,1,60,2025-10-05 08:29:37,2025-10-05 08:29:37
124,"Море, соль, бумага",more-sol-bumaga,"66,67","2,4,19,34,141,142,143",2,4,2,8,2025-10-05 08:29:37,2025-10-05 08:29:37
121,Кольт Экспресс,kolt-ekspress,"7,64","2,19,139",2,6,2,10,2025-10-05 08:29:37,2025-10-05 08:29:37
119,Шакал: Альфа Центавра,shakal-alfa-tsentavra,38,"2,24,130",2,4,2,6,2025-10-05 08:29:37,2025-10-05 08:29:37
117,Fateforge: Хроники Каана,fateforge-khroniki-kaana,"1,58,59","10,13,21,23,24,53,136",1,4,1,13,2025-10-05 08:29:36,2025-10-05 08:29:36
115,Письма призрака,pisma-prizraka,3,"2,11,18,135",2,12,2,30,2025-10-05 08:29:36,2025-10-05 08:29:36
114,Непостижимое: Кошмары из пучины,nepostizhimoe-koshmary-iz-puchiny,"1,2","59,70",3,6,3,13,2025-10-05 08:29:36,2025-10-05 08:29:36
113,Неон,neon,1,"1,10,19,21,24,134",2,6,2,12,2025-10-05 08:29:36,2025-10-05 08:29:36
111,Трудванг: Легенды,trudvang-legendy,"1,6","8,13,21,23,24,132",1,4,1,13,2025-10-05 08:29:36,2025-10-05 08:29:36
110,Frostpunk: The Board Game. Dreadnought Expansion,frostpunk-the-board-game-dreadnought-expansion,19,54,1,4,1,18,2025-10-05 08:29:36,2025-10-05 08:29:36
108,Fallout: Новая Калифорния,fallout-novaia-kaliforniia,"1,2,10",37,1,4,1,14,2025-10-05 08:29:36,2025-10-05 08:29:36
107,Городской убийца: Делюкс-набор,gorodskoi-ubiitsa-deliuks-nabor,1,33,2,4,2,16,2025-10-05 08:29:36,2025-10-05 08:29:36
104,Трамвай смерти,tramvai-smerti,38,"10,15,17,18,129",3,13,3,15,2025-10-05 08:29:36,2025-10-05 08:29:36
103,Frostpunk: The Board Game,frostpunk-the-board-game,19,"1,8,13,21,23,54",1,4,1,18,2025-10-05 08:29:36,2025-10-05 08:29:36
102,Гонка: Жара на трассе,gonka-zhara-na-trasse,"1,23","2,13,18,19,128",1,6,1,10,2025-10-05 08:29:36,2025-10-05 08:29:36
101,Крути роллы!,kruti-rolly,"49,55","4,15,18",2,4,2,8,2025-10-05 08:29:36,2025-10-05 08:29:36
100,Нечто: Из глубокой бездны,nechto-iz-glubokoi-bezdny,"1,53,54","10,15,17,18,19,24,35,39,66,71,92,127",4,12,4,18,2025-10-05 08:29:36,2025-10-05 08:29:36
99,Ticket to Ride. Наследие: Легенды Запада,ticket-to-ride-nasledie-legendy-zapada,"1,23","2,19,25,64,65",2,5,2,11,2025-10-05 08:29:36,2025-10-05 08:29:36
96,Взлом,vzlom,"1,30","1,4,13,18,21,125",1,4,1,13,2025-10-05 08:29:36,2025-10-05 08:29:36
95,Палео,paleo,"1,9","1,4,8,18,19,23,24,97,124",2,4,2,10,2025-10-05 08:29:36,2025-10-05 08:29:36
94,Замес: Стражи фантастики,zames-strazhi-fantastiki,"1,52","1,2,4,19,34,123",2,4,2,12,2025-10-05 08:29:36,2025-10-05 08:29:36
93,Ticket to Ride: Амстердам,ticket-to-ride-amsterdam,"1,23","2,4,65",2,4,2,8,2025-10-05 08:29:36,2025-10-05 08:29:36
92,Койот,koiot,"1,51","15,18,19",3,6,3,20,2025-10-05 08:29:36,2025-10-05 08:29:36
91,Азул,azul,"49,50","2,4,32,36,122",2,4,2,8,2025-10-05 08:29:36,2025-10-05 08:29:36
90,Неудержимые единорожки,neuderzhimye-edinorozhki,1,"4,10,15,18,19,25,121",2,8,2,12,2025-10-05 08:29:36,2025-10-05 08:29:36
88,Неудержимые единорожки 18+,neuderzhimye-edinorozhki-18,1,"10,15,17,18,19,121",2,8,2,18,2025-10-05 08:29:36,2025-10-05 08:29:36
87,Тайны Аркхэма,tainy-arkkhema,"1,48","4,8,10,11,12,13,18,23,24,83",1,8,1,18,2025-10-05 08:29:36,2025-10-05 08:29:36
86,Время приключений. Карточные войны: Финн против Джейка,vremia-prikliuchenii-kartochnye-voiny-finn-protiv-dzheika,"1,22,47","4,7,10,19,34,38,60,119,120",,,,30,2025-10-05 08:29:36,2025-10-05 08:29:36
85,Бункер-Б,bunker-b,3,"15,16,17,18,19",2,16,2,18,2025-10-05 08:29:36,2025-10-05 08:29:36
83,Сын маминой подруги,syn-maminoi-podrugi,45,"2,15",2,4,2,12,2025-10-05 08:29:36,2025-10-05 08:29:36
82,К-поп от слова котики,k-pop-ot-slova-kotiki,1,"4,10,15,19",2,4,2,8,2025-10-05 08:29:36,2025-10-05 08:29:36
80,BattleTech. Настольная игра,battletech-nastolnaia-igra,"1,44","4,21,34,61,112,113,114",90,120,90,14,2025-10-05 08:29:36,2025-10-05 08:29:36
77,7 чудес: Дуэль,7-chudes-duel,"7,36","1,4,19,27,34,96",,,,30,2025-10-05 08:29:35,2025-10-05 08:29:35
75,Кромешная тьма: Преисподняя,kromeshnaia-tma-preispodniaia,"1,6,15","8,13,21,23,24,110",1,6,1,16,2025-10-05 08:29:35,2025-10-05 08:29:35
74,Восходящее солнце,voskhodiashchee-solntse,"1,6","1,18,21,25,109",3,5,3,13,2025-10-05 08:29:35,2025-10-05 08:29:35
73,Королевская битва питомцев,korolevskaia-bitva-pitomtsev,"1,29","4,15,18,19",2,6,2,7,2025-10-05 08:29:35,2025-10-05 08:29:35
72,Эволюция,evoliutsiia,42,"2,18,19,108",2,4,2,12,2025-10-05 08:29:35,2025-10-05 08:29:35
69,Зачарованная,zacharovannaia,"1,39","1,2,4,13,18,24,103",,,,1,2025-10-05 08:29:35,2025-10-05 08:29:35
68,Предназначение,prednaznachenie,"1,31","4,8,13,24,53,102",1,3,1,13,2025-10-05 08:29:35,2025-10-05 08:29:35
65,Каркассон: Туманы и призраки,karkasson-tumany-i-prizraki,"1,9","1,2,13,18,23,30",1,5,1,35,2025-10-05 08:29:35,2025-10-05 08:29:35
64,Ктулху: Смерть может умереть. Четвёртый сезон,ktulkhu-smert-mozhet-umeret-chetviortyi-sezon,"1,6,15",44,1,5,1,16,2025-10-05 08:29:35,2025-10-05 08:29:35
63,Индустрия,industriia,1,"1,10,18,27,99",2,4,2,12,2025-10-05 08:29:35,2025-10-05 08:29:35
62,Исторический детектив: Сокровища галеона,istoricheskii-detektiv-sokrovishcha-galeona,1,"8,11,13,19,23,98",1,4,1,18,2025-10-05 08:29:35,2025-10-05 08:29:35
60,Бэнг!,beng,"1,27","10,15,18,19,22,35,60,66,67,73,92",4,7,4,12,2025-10-05 08:29:35,2025-10-05 08:29:35
59,7 чудес,7-chudes,"7,36","1,2,18,19,27,96,97",3,7,3,30,2025-10-05 08:29:35,2025-10-05 08:29:35
58,В двух словах: Игры,v-dvukh-slovakh-igry,1,"4,15,18,19,95",2,7,2,15,2025-10-05 08:29:35,2025-10-05 08:29:35
57,Gloomhaven. Мрачная гавань: Челюсти льва,gloomhaven-mrachnaia-gavan-cheliusti-lva,"1,5","1,8,10,21,23,24,28",1,4,1,13,2025-10-05 08:29:35,2025-10-05 08:29:35
56,Мачи Коро 2,machi-koro-2,"1,6","2,19,94",2,5,2,45,2025-10-05 08:29:35,2025-10-05 08:29:35
55,Мачи Коро,machi-koro,"1,35","2,4,10,18,19,22,27,94",2,5,2,7,2025-10-05 08:29:35,2025-10-05 08:29:35
52,Дюна: Война за Арракис,diuna-voina-za-arrakis,"1,6,33,34","13,18,21,24,34,61,91",1,4,1,13,2025-10-05 08:29:35,2025-10-05 08:29:35
50,"Мяу, Тёмный Властелин!",miau-tiomnyi-vlastelin,1,"4,15,18,19",2,6,2,8,2025-10-05 08:29:35,2025-10-05 08:29:35
49,Цитадели Делюкс,tsitadeli-deliuks,"1,11","2,10,18,19,88,89",2,8,2,10,2025-10-05 08:29:35,2025-10-05 08:29:35
48,Изнанка,iznanka,1,"1,2,4,13,18,23,24,86,87",1,4,1,10,2025-10-05 08:29:35,2025-10-05 08:29:35
47,Подземелья и пёсики,podzemelia-i-piosiki,1,"2,4,24,25,84,85",2,4,2,8,2025-10-05 08:29:35,2025-10-05 08:29:35
46,Эпичные схватки боевых магов: Битва на горе Черепламени,epichnye-skhvatki-boevykh-magov-bitva-na-gore-chereplameni,"1,22","8,10,15,17,18,19,38,63,66,67",2,6,2,30,2025-10-05 08:29:35,2025-10-05 08:29:35
45,Рассвет,rassvet,"1,32","1,4,13,23,27",1,4,1,11,2025-10-05 08:29:35,2025-10-05 08:29:35
44,Место преступления,mesto-prestupleniia,"1,31","8,10,11,14,18,23,36,38,53,66,67,82,83",1,4,1,12,2025-10-05 08:29:35,2025-10-05 08:29:35
43,Крестоносцы,krestonostsy,1,"1,8,21,80,81",2,4,2,12,2025-10-05 08:29:35,2025-10-05 08:29:35
42,Войны Чёрной Розы: Возрождение,voiny-chiornoi-rozy-vozrozhdenie,"1,30","1,21,25,59,79",1,4,1,90,2025-10-05 08:29:35,2025-10-05 08:29:35
41,Космический контакт,kosmicheskii-kontakt,"1,2","1,8,10,18,25,59,77,78",3,5,3,14,2025-10-05 08:29:35,2025-10-05 08:29:35
40,Взрывные котята,vzryvnye-kotiata,"1,29","4,10,15,18,25,38,39,66,67,76",2,5,2,15,2025-10-05 08:29:35,2025-10-05 08:29:35
38,Сумерки империи. Четвёртое издание,sumerki-imperii-chetviortoe-izdanie,"1,2","1,8,10,21,74",3,6,3,13,2025-10-05 08:29:35,2025-10-05 08:29:35
37,Бэнг! Легенды,beng-legendy,"1,27","59,73",4,7,4,12,2025-10-05 08:29:35,2025-10-05 08:29:35
36,Зомбицид. Вторая редакция,zombitsid-vtoraia-redaktsiia,"1,6,15","4,8,21,23,24,46,59,72",1,6,1,60,2025-10-05 08:29:35,2025-10-05 08:29:35
35,Непостижимое,nepostizhimoe,"1,2","8,11,12,18,21,24,35,70,71",3,6,3,13,2025-10-05 08:29:35,2025-10-05 08:29:35
32,Ticket to Ride: Европа,ticket-to-ride-evropa,"1,23","2,10,18,22,60,64,65,66,67",2,5,2,8,2025-10-05 08:29:34,2025-10-05 08:29:34
31,Герои,geroi,1,"1,2,3,4",2,4,2,10,2025-10-05 08:29:34,2025-10-05 08:29:34
30,Oathsworn: Верные клятве. Тайны Темнолесья,oathsworn-vernye-kliatve-tainy-temnolesia,"1,20","4,8,18,21,23,24,55,59",1,4,1,18,2025-10-05 08:29:34,2025-10-05 08:29:34
29,Эпичные схватки боевых магов: Крутагидон,epichnye-skhvatki-boevykh-magov-krutagidon,"1,22","10,15,17,18,19,39,63",2,5,2,18,2025-10-05 08:29:34,2025-10-05 08:29:34
28,Ужас Аркхэма. Третья редакция,uzhas-arkkhema-tretia-redaktsiia,"1,2","8,9,10,11,12,14,18,21,23,24,62",1,6,1,14,2025-10-05 08:29:34,2025-10-05 08:29:34
27,Битва за Рокуган,bitva-za-rokugan,"1,2","1,4,10,18,21,61",2,5,2,13,2025-10-05 08:29:34,2025-10-05 08:29:34
26,Манчкин,manchkin,"1,21","8,10,15,18,19,22,57,58,59,60",3,6,3,30,2025-10-05 08:29:34,2025-10-05 08:29:34
24,Frostpunk: Настольная игра (на русском языке),frostpunk-nastolnaia-igra-na-russkom-iazyke,19,"1,8,13,21,23,54",1,4,1,18,2025-10-05 08:29:34,2025-10-05 08:29:34
23,Ктулху: Смерть может умереть,ktulkhu-smert-mozhet-umeret,"1,6,15","8,10,12,18,23,44",1,5,1,16,2025-10-05 08:29:34,2025-10-05 08:29:34
21,Тайное послание,tainoe-poslanie,"1,11","2,15,18,19,51",2,6,2,10,2025-10-05 08:29:34,2025-10-05 08:29:34
19,Зомбицид: Белая смерть,zombitsid-belaia-smert,"1,6,15","8,13,18,23,24,46,47",1,6,1,60,2025-10-05 08:29:34,2025-10-05 08:29:34
18,Серп,serp,"16,17,18","1,4,18,21,45",1,5,1,14,2025-10-05 08:29:34,2025-10-05 08:29:34
17,Ктулху: Смерть может умереть. Страх неведомого,ktulkhu-smert-mozhet-umeret-strakh-nevedomogo,"1,6,15","8,10,12,18,23,44",1,5,1,16,2025-10-05 08:29:34,2025-10-05 08:29:34
12,Ужас Аркхэма: Тайное послание,uzhas-arkkhema-tainoe-poslanie,"1,11","4,10,12,15,18,19",2,6,2,12,2025-10-05 08:29:34,2025-10-05 08:29:34
10,Городской убийца,gorodskoi-ubiitsa,1,"1,8,11,31,32,33,34,35,36",2,4,2,16,2025-10-05 08:29:34,2025-10-05 08:29:34
