id,name,slug
72,Smirk & Laughter Games,smirk-laughter-games
70,Mandoo Games,mandoo-games
69,Atlas Games,atlas-games
67,Bombyx,bombyx
66,Фабрика игр,fabrika-igr
64,Ludonaute,ludonaute
59,Studio Agate,studio-agate
58,Mighty Boards,mighty-boards
55,Korea Boardgames,korea-boardgames
54,Pendragon Game Studio,pendragon-game-studio
53,Escape Studios,escape-studios
52,AEG,aeg
51,HeidelBAR Games,heidelbar-games
50,Next Move Games,next-move-games
49,Zvezda,zvezda
48,8th Summit,8th-summit
47,Cartoon Network,cartoon-network
45,Экивоки,ekivoki
44,Catalyst Game Labs,catalyst-game-labs
42,Правильные игры,pravilnye-igry
39,Dark Doll Games,dark-doll-games
38,Magellan,magellan
36,Repos Production,repos-production
35,Grounding,grounding
34,Legendary,legendary
33,Gale Force Nine,gale-force-nine
32,CMYK,cmyk
31,Lucky Duck Games,lucky-duck-games
30,Ludus Magnus Studio,ludus-magnus-studio
29,Exploding Kittens,exploding-kittens
28,Asmodee,asmodee
27,dV Giochi,dv-giochi
23,Days of Wonder,days-of-wonder
22,Cryptozoic Entertainment,cryptozoic-entertainment
21,Steve Jackson Games,steve-jackson-games
20,Shadowborne Games,shadowborne-games
19,Glass Cannon Unplugged,glass-cannon-unplugged
18,Нескучные игры,neskuchnye-igry
17,Stonemaier Games,stonemaier-games
16,Crowd Games,crowd-games
15,Guillotine Games,guillotine-games
11,Z-MAN games,z-man-games
10,Bethesda,bethesda
9,Hans im Gluck,hans-im-gluck
8,Gigamic,gigamic
7,Стиль Жизни,stil-zhizni
6,CMON,cmon
5,Cephalofair Games,cephalofair-games
4,Starling Games,starling-games
3,Экономикус,ekonomikus
2,Fantasy Flight Games,fantasy-flight-games
1,Hobby World,hobby-world
